;island;Richness;Even
swash63;deep;0.068440757;0.258165325
swash64;deep;0.067880491;0.246615284
swash65;deep;0.082324151;0.26136932
swash66;deep;0.059076695;0.243438669
swash67;deep;0.068491525;0.240460068
swash68;deep;0.090823431;0.253032558
swash69;deep;0.05658515;0.222502503
swash7;deep;0.06206381;0.225810641
swash70;deep;0.073461838;0.28301665
swash71;deep;0.065509403;0.246790398
swash72;deep;0.059326544;0.228967972
swash73;deep;0.063856453;0.253330988
swash74;deep;0.057570827;0.256239197
swash75;deep;0.048243185;0.231963641
swash76;deep;0.06321118;0.241386902
swash77;deep;0.07087639;0.255251782
swash78;deep;0.079623523;0.238004891
swash79;deep;0.059030138;0.233068007
swash8;deep;0.068393869;0.229058794
swash80;deep;0.070225034;0.25715345
swash81;deep;0.075528981;0.250573967
swash82;deep;0.048996793;0.243533993
swash83;deep;0.058552553;0.225130862
swash84;deep;0.052084865;0.226762979
swash85;deep;0.084238471;0.257732505
swash86;deep;0.069738686;0.26410195
swash87;deep;0.092733409;0.263181497
swash88;deep;0.073398436;0.255890321
swash89;deep;0.056239975;0.261932315
swash9;deep;0.087723295;0.251137163
swash90;deep;0.046376679;0.259895942
swash91;deep;0.053016931;0.265865241
swash92;deep;0.08004681;0.236059248
swash93;deep;0.071203996;0.250187037
swash94;deep;0.069586773;0.253062131
swash95;deep;0.087566248;0.236595131
swash96;deep;0.065159127;0.275612739
swash97;deep;0.040338662;0.253028236
swash98;deep;0.064277615;0.245941547
swash99;deep;0.074950803;0.266867677
deep1;swash;0.070257778;0.235641832
deep10;swash;0.062564746;0.24705584
deep100;swash;0.060622785;0.243708815
deep11;swash;0.054331524;0.230350191
deep12;swash;0.048545052;0.237828482
deep13;swash;0.065831767;0.245514621
deep14;swash;0.056871034;0.224961495
deep15;swash;0.06816002;0.240333692
deep16;swash;0.061932619;0.239569811
deep17;swash;0.046122947;0.250049603
deep18;swash;0.053338212;0.237588626
deep19;swash;0.048829834;0.246888357
deep2;swash;0.060135776;0.23780956
deep20;swash;0.061193312;0.248505983
deep21;swash;0.068223727;0.248252563
deep22;swash;0.067591615;0.236303778
deep23;swash;0.065448665;0.230967598
deep24;swash;0.060135349;0.248630271
deep25;swash;0.062140481;0.244073336
deep26;swash;0.063587828;0.227885949
deep27;swash;0.062432449;0.247475716
deep28;swash;0.055301806;0.225442661
deep29;swash;0.052669938;0.231288353
deep3;swash;0.047964128;0.232322207
deep30;swash;0.053547369;0.233193653
deep31;swash;0.053323766;0.217201774
deep32;swash;0.064797987;0.257163891
deep33;swash;0.051678902;0.218723711
deep34;swash;0.054578003;0.239187263
deep35;swash;0.061982629;0.227807887
deep36;swash;0.045870581;0.241184507
deep37;swash;0.053826245;0.231634361
deep38;swash;0.061748284;0.242223536
deep39;swash;0.062110391;0.224608168
deep4;swash;0.052054864;0.23180426
deep40;swash;0.047582162;0.244798498
deep41;swash;0.052335513;0.230932235
deep42;swash;0.05302096;0.229583662
deep43;swash;0.071642498;0.241969999
deep44;swash;0.050445356;0.231914662
deep45;swash;0.042142892;0.232682074
deep46;swash;0.053465936;0.227545405
deep47;swash;0.055130648;0.237789287
deep48;swash;0.059969749;0.247083711
deep49;swash;0.062721326;0.227003643
deep5;swash;0.053918141;0.239826152
deep50;swash;0.068944921;0.237196769
deep51;swash;0.054403645;0.25021574
deep52;swash;0.051179306;0.231969039
deep53;swash;0.05415389;0.246383872
deep54;swash;0.051990558;0.237728577
deep55;swash;0.047628195;0.245400209
deep56;swash;0.057886457;0.241460767
deep57;swash;0.059930285;0.244654741
deep58;swash;0.052625761;0.231927669
deep59;swash;0.054004284;0.222399763
deep6;swash;0.062521799;0.248217416
deep60;swash;0.048407669;0.218461735
deep61;swash;0.048013649;0.221889512
deep62;swash;0.044450898;0.227464297
deep63;swash;0.055786299;0.226630196
deep64;swash;0.047054196;0.232036169
deep65;swash;0.058470382;0.224061286
deep66;swash;0.050775968;0.215467972
deep67;swash;0.059939616;0.239144555
deep68;swash;0.060823509;0.231004713
deep69;swash;0.057822436;0.231487595
deep7;swash;0.060496321;0.237194845
deep70;swash;0.060731664;0.237509627
deep71;swash;0.052346979;0.218035165
deep72;swash;0.060015292;0.242650796
deep73;swash;0.068426326;0.2382094
deep74;swash;0.056291551;0.230604665
deep75;swash;0.060869528;0.247326868
deep76;swash;0.049299474;0.238026185
deep77;swash;0.047729004;0.231431689
deep78;swash;0.061228515;0.223685824
deep79;swash;0.064844161;0.23117821
deep8;swash;0.041794641;0.245797626
deep80;swash;0.049871629;0.239511298
deep81;swash;0.061658365;0.241701992
deep82;swash;0.050812103;0.250121776
deep83;swash;0.054491334;0.234505108
deep84;swash;0.048941263;0.23089137
deep85;swash;0.0553005;0.245150726
deep86;swash;0.054586799;0.216182694
deep87;swash;0.055359236;0.237808688
deep88;swash;0.06281446;0.239570166
deep89;swash;0.049296099;0.255460182
deep9;swash;0.048273805;0.240518671
deep90;swash;0.054976198;0.244181408
deep91;swash;0.061299884;0.247096832
deep92;swash;0.057061706;0.238201767
deep93;swash;0.044742378;0.218029935
deep94;swash;0.062224607;0.232233724
deep95;swash;0.06405271;0.240637911
deep96;swash;0.07042504;0.24517794
deep97;swash;0.065576447;0.250435597
deep98;swash;0.061165784;0.238566684
deep99;swash;0.066397358;0.241481076
mid1;mid;0.060695777;0.237443156
mid10;mid;0.054937837;0.234070469
mid100;mid;0.06600679;0.237005073
mid11;mid;0.06564672;0.252816228
mid12;mid;0.057050272;0.225360649
mid13;mid;0.054389897;0.243318708
mid14;mid;0.062798272;0.219785006
mid15;mid;0.052384705;0.244872013
mid16;mid;0.070205345;0.252177689
mid17;mid;0.045558827;0.230775083
mid18;mid;0.062623579;0.245863146
mid19;mid;0.064235458;0.251291894
mid2;mid;0.068838814;0.238405331
mid20;mid;0.052321363;0.240299978
mid21;mid;0.063908951;0.245668059
mid22;mid;0.058875624;0.248485546
mid23;mid;0.060540397;0.252561433
mid24;mid;0.050993946;0.254407735
mid25;mid;0.063435737;0.250610002
mid26;mid;0.064385194;0.231647808
mid27;mid;0.052549895;0.233019869
mid28;mid;0.048921233;0.250649319
mid29;mid;0.053757055;0.235609377
mid3;mid;0.0493854;0.24249727
mid30;mid;0.047133022;0.222276415
mid31;mid;0.067028402;0.241756386
mid32;mid;0.0586568;0.244740607
mid33;mid;0.057914781;0.238415606
mid34;mid;0.068624593;0.250838862
mid35;mid;0.069601636;0.249780765
mid36;mid;0.054095964;0.2272362
mid37;mid;0.080401454;0.248596216
mid38;mid;0.055132062;0.24222259
